59018,Okanagan—Shuswap,Okanagan—Shuswap
59019,North Vancouver,North Vancouver
59020,Okanagan—Coquihalla,Okanagan—Coquihalla
59021,Port Moody—Westwood—Port Coquitlam,Port Moody—Westwood—Port Coquitlam
59022,Prince George—Peace River,Prince George—Peace River
59023,Richmond,Richmond
59024,Saanich—Gulf Islands,Saanich—Gulf Islands
59025,Skeena—Bulkley Valley,Skeena—Bulkley Valley
59026,British Columbia Southern Interior,Colombie-Britannique-Southern Interior
59027,South Surrey—White Rock—Cloverdale,Surrey-Sud—White Rock—Cloverdale
59028,Surrey North,Surrey-Nord
59029,Vancouver Centre,Vancouver-Centre
59030,Vancouver East,Vancouver-Est
59031,Vancouver Island North,Île de Vancouver-Nord
59032,Vancouver Kingsway,Vancouver Kingsway
59033,Vancouver Quadra,Vancouver Quadra
59034,Vancouver South,Vancouver-Sud
59035,Victoria,Victoria
59036,West Vancouver—Sunshine Coast—Sea to Sky Country,West Vancouver—Sunshine Coast—Sea to Sky Country
60001,Yukon,Yukon
61001,Western Arctic,Western Arctic
62001,Nunavut,Nunavut
